,title,desc,url,date
0,['美基金起诉韩国政府，因三星子公司合并案索赔7.7亿美元'],['据彭博社北京时间7月14日报道，美国对冲基金Elliott Management Corp表示，由于上一届政府介入三星物产和第一毛织公司在2015年的合并案，该公司将向韩国政府寻求至少7.7亿美元赔偿。（凤凰科技）'],['http://tech.ifeng.com/a/20180714/45063415_0.shtml'],['2018-07-14 12:06:09']
1,['爱奇艺宣布陈伟霆为VIP会员代言人'],['36氪讯，7月13日，爱奇艺VIP会员专属见面会在京举行，标志着爱奇艺夏日青春漾暑期档活动正式启动。现场爱奇艺正式宣布，陈伟霆担任爱奇艺VIP会员代言人。'],[''],['2018-07-14 10:12:32']
2,['微软总裁：政府需加强对面部识别技术的监管'],['据CNBC北京时间7月14日报道，随着政府对人工智能软件的使用越来越受到关注，微软总裁兼首席法务官布拉德·史密斯周五表示，政府应当实施更多的监管，尤其是对于面部识别技术。（凤凰科技）'],['http://tech.ifeng.com/a/20180714/45063325_0.shtml'],['2018-07-14 10:05:19']
3,['传亚马逊将开售网络交换设备，思科股价跌4%'],['科技媒体The Information报道称，亚马逊AWS正考虑销售自己的网络交换设备。收此影响，思科等网络设备公司股价周五出现下跌。截至周五收盘，思科股价下跌4%，市值缩水85亿美元。Juniper股价下跌超过2%，Arista Networks股价下跌超过4%。（新浪科技）'],['https://tech.sina.com.cn/it/2018-07-14/doc-ihfhfwmv1867127.shtml'],['2018-07-14 09:58:00']
4,['美商务部解除禁售令，中兴今晨全面恢复全球业务'],['美东时间7月13日，美国商务部发布公告称，中兴已缴纳14亿美元罚款的最后款项，商务部解除对其的禁售令。中兴将可重新向美国公司购买关键零部件，恢复运营。中兴在北京时间7月14日6点33分，启动了之前早已预备的T0业务重建计划，开始全面恢复全球业务。（财新）'],['http://international.caixin.com/2018-07-14/101302825.html'],['2018-07-14 09:55:14']
5,['Opera公布IPO发行价区间10-12美元，最高募1.32亿美元'],['美国东部时间周五Opera向美国证券交易委员会（SEC）递交招股说明书1号补充文件（Amendment No.1），称将在首次公开募股中发行960万股美国存托凭证，相当于1920万股普通股，发行价格区间为10美元至12美元。（新浪科技）'],['https://tech.sina.com.cn/i/2018-07-14/doc-ihfhfwmv1763075.shtml'],['2018-07-14 09:53:50']
6,['中兴通讯今晨发布微博：满怀信心再出发！'],['36氪讯，获得正式解禁之后，中兴通讯今晨官方微博发布了一条消息，称“满怀信心再出发”。'],['https://weibo.com/ztecorporation?is_hot=1'],['2018-07-14 09:43:52']
7,['姜文《邪不压正》首日票房1.22亿元，摘得昨日票房冠军'],['36氪讯，据猫眼数据，昨天姜文的《邪不压正》首日上映，获得12176万元票房，以微弱的优势领先于《我不是药神》。后者票房为12130万元票房，仅落后于《邪不压正》几十万元。由于这两部片子的强势表现，昨日票房大盘也突破两亿元，达到2.78亿元。'],['http://piaofang.maoyan.com/dashboard?date=2018-07-13'],['2018-07-14 09:23:04']
8,['Kneron延揽高通前高管担任首席科学家'],['36氪讯，耐能智慧(Kneron)今日宣布延揽前高通多媒体研发部门总监李湘村担任首席科学家，将领导公司新解决方案团队，负责先进技术与产品的研究开发，以加速大中华市场布局。李湘村于高通任职17年，领导多媒体研发团队，开发手机平台上的多媒体应用与系统架构。'],[''],['2018-07-13 22:40:50']
9,['美的集团：持有小米近一亿股，市值接近约18.29亿元'],['美的集团称，持有小米近一亿股，市值接近约18.29亿元。（新浪）'],[''],['2018-07-13 22:35:02']
10,['乐视网：上半年预计亏损11.05亿元-11.1亿元'],['36氪讯，乐视网公告称，上半年预计亏损11.05亿元-11.1亿元，上年同期亏损6.37亿元；如经审计后公司2018年全年净资产为负，公司存在股票被暂停上市的风险。'],['http://pdf.dfcfw.com/pdf/H2_AN201807131166191048_1.pdf'],['2018-07-13 21:54:45']
11,['捷顺科技支付牌照续展获通过 出入口智能管理行业唯一一家'],['日前，央行官网公布第六批支付牌照续展结果：21家顺利通过，4家被注销。捷顺科技全资子公司捷易付便是其中一家顺利通过续展的支付机构，而且捷顺科技也是出入口智能管理领域唯一拥有支付牌照的企业。随着金融监管不断趋严，第三方支付市场已然出现了洗牌和整合的迹象。（新浪）'],[''],['2018-07-13 21:47:16']
12,['乐视网：董秘赵凯因个人原因向公司申请辞职'],['乐视网公告称，董秘赵凯因个人原因向公司申请辞职，董事会同意聘任白冰担任董秘、聘任赵慧担任证券事务代表。'],[''],['2018-07-13 21:29:43']
13,['中国南方航空与英国航空磋商建立合资企业'],['中国南方航空高管在采访中表示，中国南方航空与英国航空磋商建立合资企业。（彭博）'],[''],['2018-07-13 21:10:06']
14,['中兴通讯：因10亿美元罚款 上半年预亏70亿-90亿元'],['中兴通讯发布公告称，上半年预计亏损70亿元-90亿元，上年同期盈利22.9亿元。本报告期业绩与上年同期相比下降幅度较大，主要原因为：（1）本公司于2018年5月9日发布《关于重大事项进展公告》，由于本公司主要经营活动无法进行导致的经营损失、预提损失；（2）本公司于2018年6月12日发布的《关于重大事项进展及复牌公告》所述的10亿美元罚款。（新浪）'],['https://tech.sina.com.cn/it/2018-07-13/doc-ihfhfwmu9451908.shtml'],['2018-07-13 20:44:35']
15,['京东物流搭建全球智慧供应链基础网络，十年内物流成本已降低50%'],['36氪讯，经过十余年努力，京东已成功将物流成本降低了50%以上，流通效率提升了70%以上，目前正通过全球智慧供应链基础网络建设（GSSC），提升整个社会的供应链效率，节约供应链成本。'],[''],['2018-07-13 20:32:35']
16,['近6年的P2P合力贷清盘 投资1万元以上4年还清本息'],['运营近6年的北京P2P网贷合力贷(北京)科技有限公司发布延期兑付公告，宣布退出网贷行业。在投金额小于1万元的用户，平台将在本月内结清所有资金;在投金额大于1万(含)元的用户，平台将根据后续的回款情况，分3年还清本金;以6%/年的标准分4期支付利息，兑付工作将于2022年7月31日以前完成。（新京报）'],[''],['2018-07-13 20:25:45']
17,['六家会计所被查事件最新进展：证监会已对致同解禁'],['据知情人士透露，在被证监会暂停IPO和再融资等材料的申报后，立信、瑞华、大华、众华、兴华、致同六家会计事务所中，致同会计事务所迎来业务解禁。（新浪）'],[''],['2018-07-13 20:18:05']
18,['泰国央行行长：正在通过监管沙箱审查区块链应用申请'],['泰国央行行长Veerathai Santiprabhob称，正在通过央行的监管沙箱，审查用于文件认证、供应链金融、跨境支付等领域的多个区块链应用申请。Santiprabhob还表示，央行正在寻求应用区块链技术和其他技术来保护财务信息，以减少欺诈行为。（CCN）'],[''],['2018-07-13 20:00:52']
19,['暴风集团：上半年预计亏损8500万元-9000万元'],['暴风集团公告称，上半年预计亏损8500万元-9000万元，上年同期盈利1572.5万元，公司互联网电视5月销量创销售记录；公司加大营销推广力度成本费用增加，同时互联网视频广告业务收入同比下降。（新浪）'],[''],['2018-07-13 19:38:19']
